date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:22	119/119	---M-Z	200	added ('OK')	text/plain	date:Fri,%2026%20Aug%202022%2009:36:22%20GMT	http://xn--80aaio8aqqot.xn--p1ai/robots.txt		(from )
12:36:22	180660/180660	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2009:36:22%20GMT	http://xn--80aaio8aqqot.xn--p1ai/	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/index.html	(from )
12:36:23	23423/23423	---M-Z	200	added ('OK')	text/css	etag:%225b7f-5e53c9cd3ce0d-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=7.1.4	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layersliderf719.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:24	86545/86545	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Aug%202022%2009:36:23%20GMT	http://s.w.org/	/Users/aleksandr/websites/taning/s.w.org/index.html	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:25	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e53c8e68a0f8-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-includes/css/dist/block-library/style.min37ad.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:25	3245/3245	---MC-	200	added ('OK')	application/rss+xml	etag:%226ffc02ed41fe7b5ea6e0305b1845842d%22	http://xn--80aaio8aqqot.xn--p1ai/comments/feed/	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/comments/feed/index.html	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:25	3306/3306	---MC-	200	added ('OK')	application/rss+xml	etag:%226ffc02ed41fe7b5ea6e0305b1845842d%22	http://xn--80aaio8aqqot.xn--p1ai/feed/	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/feed/index.html	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:25	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5e53c9c8cbeba-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.3	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/contact-form-7/includes/css/styles5697.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:26	1413/1413	---M-Z	200	added ('OK')	text/css	etag:%22585-5e5d41a9fe3fa-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/wp-carousel-free/public/css/slick.min.css?ver=2.4.9	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/wp-carousel-free/public/css/slick.min8dff.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:27	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5e5d41a9fe3fa-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/wp-carousel-free/public/css/font-awesome.min.css?ver=2.4.9	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/wp-carousel-free/public/css/font-awesome.min8dff.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:28	9222/9222	---M-Z	200	added ('OK')	text/css	etag:%222406-5e5d41a9fe3fa-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/wp-carousel-free/public/css/wp-carousel-free-public.min.css?ver=2.4.9	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/wp-carousel-free/public/css/wp-carousel-free-public.min8dff.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:32	59453/59453	---M-Z	200	added ('OK')	text/css	etag:%22e83d-5e53c9a75a6f7-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/assets/animations/animations.min.css?ver=26.4.0.3	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/assets/animations/animations.min4828.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:32	406110/406110	---MCZ	200	added ('OK')	text/css	etag:%226325e-5e53c9a75f517-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/css/be.css?ver=26.4.0.3	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/css/be4828.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:32	60701/60701	---M-Z	200	added ('OK')	text/css	etag:%22ed1d-5e53c9a719fb8-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/fonts/fontawesome/fontawesome.css?ver=26.4.0.3	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/fonts/fontawesome/fontawesome4828.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:34	9711/9711	---M-Z	200	added ('OK')	text/css	etag:%2225ef-5e53c9a75b697-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/assets/jplayer/css/jplayer.blue.monday.min.css?ver=26.4.0.3	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/assets/jplayer/css/jplayer.blue.monday.min4828.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:34	64924/64924	---M-Z	200	added ('OK')	text/css	etag:%22fd9c-5e53c9a76859f-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/css/responsive.css?ver=26.4.0.3	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/themes/betheme_v26_%d1%80%d0%b0%d1%81%d0%bf%d0%b0%d0%ba/css/responsive4828.css	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:38	40464/40464	---M--	200	added ('OK')	font/ttf	etag:%229e10-5e5c8c972311a%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/uploads/2022/08/gothampro.ttf	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/uploads/2022/08/gothampro.ttf	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:40	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:44	40844/40844	---M--	200	added ('OK')	font/ttf	etag:%229f8c-5e5d2a54d1817%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/uploads/2022/08/gothampro_light.ttf	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/uploads/2022/08/gothampro_light.ttf	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:44	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5bd3006388300-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-includes/js/jquery/jquery.minaf6c.js	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:46	21751/21751	---M-Z	200	added ('OK')	application/javascript	etag:%2254f7-5e53c9cd3c255-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.transitions.js?ver=7.1.4	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.transitionsf719.js	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:47	122953/122953	---M-Z	200	added ('OK')	application/javascript	etag:%221e049-5e53c9cd3be6d-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.utils.js?ver=7.1.4	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.utilsf719.js	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:48	127054/127054	---M-Z	200	added ('OK')	application/javascript	etag:%221f04e-5e53c9cd3c255-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=7.1.4	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jqueryf719.js	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:48	858/858	---M-Z	200	added ('OK')	text/xml	date:Fri,%2026%20Aug%202022%2009:36:47%20GMT	http://xn--80aaio8aqqot.xn--p1ai/xmlrpc.php?rsd	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/xmlrpc0db0.php	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:48	7193/7193	---MC-	200	added ('OK')	application/json	date:Fri,%2026%20Aug%202022%2009:36:45%20GMT	http://xn--80aaio8aqqot.xn--p1ai/wp-json/wp/v2/pages/37	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-json/wp/v2/pages/37.json	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:48	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://xn--80aaio8aqqot.xn--p1ai/wp-includes/wlwmanifest.xml	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-includes/wlwmanifest.xml	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:50	2759/2759	---MC-	200	added ('OK')	application/json	date:Fri,%2026%20Aug%202022%2009:36:49%20GMT	http://xn--80aaio8aqqot.xn--p1ai/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fxn--80aaio8aqqot.xn--p1ai%2F	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-json/oembed/1.0/embed34fb.json	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:52	2900/2900	---M-Z	200	added ('OK')	text/xml	date:Fri,%2026%20Aug%202022%2009:36:50%20GMT	http://xn--80aaio8aqqot.xn--p1ai/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fxn--80aaio8aqqot.xn--p1ai%2F&format=xml	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-json/oembed/1.0/embedbc12	(from http://xn--80aaio8aqqot.xn--p1ai/)
12:36:52	912/912	---M--	200	added ('OK')	image/jpeg	etag:%22390-5e5fbcbd89ede%22	http://xn--80aaio8aqqot.xn--p1ai/wp-content/uploads/2022/08/cropped-icon-32x32.jpg	/Users/aleksandr/websites/taning/%d1%85%d0%be%d1%87%d1%83%d0%b7%d0%b0%d0%b3%d0%b0%d1%80.%d1%80%d1%84/wp-content/uploads/2022/08/cropped-icon-32x32.jpg	(from http://xn--80aaio8aqqot.xn--p1ai/)
